C:\Users\apnat\Desktop\IMG\center_2022_11_16_17_51_49_117.jpg,C:\Users\apnat\Desktop\IMG\left_2022_11_16_17_51_49_117.jpg,C:\Users\apnat\Desktop\IMG\right_2022_11_16_17_51_49_117.jpg,0,1,0,27.30922,174.693,1.676275,111.3711
C:\Users\apnat\Desktop\IMG\center_2022_11_16_17_51_49_192.jpg,C:\Users\apnat\Desktop\IMG\left_2022_11_16_17_51_49_192.jpg,C:\Users\apnat\Desktop\IMG\right_2022_11_16_17_51_49_192.jpg,0,1,0,28.05739,174.2352,1.676035,112.2528
C:\Users\apnat\Desktop\IMG\center_2022_11_16_17_51_49_262.jpg,C:\Users\apnat\Desktop\IMG\left_2022_11_16_17_51_49_262.jpg,C:\Users\apnat\Desktop\IMG\right_2022_11_16_17_51_49_262.jpg,0,1,0,28.61347,173.883,1.675882,112.9291
C:\Users\apnat\Desktop\IMG\center_2022_11_16_17_51_49_340.jpg,C:\Users\apnat\Desktop\IMG\left_2022_11_16_17_51_49_340.jpg,C:\Users\apnat\Desktop\IMG\right_2022_11_16_17_51_49_340.jpg,0,1,0,29.35078,173.4019,1.67564,113.8508
C:\Users\apnat\Desktop\IMG\center_2022_11_16_17_51_49_414.jpg,C:\Users\apnat\Desktop\IMG\left_2022_11_16_17_51_49_414.jpg,C:\Users\apnat\Desktop\IMG\right_2022_11_16_17_51_49_414.jpg,-0.05,1,0,30.08142,172.9075,1.67539,114.7953
C:\Users\apnat\Desktop\IMG\center_2022_11_16_17_51_49_491.jpg,C:\Users\apnat\Desktop\IMG\left_2022_11_16_17_51_49_491.jpg,C:\Users\apnat\Desktop\IMG\right_2022_11_16_17_51_49_491.jpg,-0.25,1,0,30.77312,172.3893,1.675145,115.7559
C:\Users\apnat\Desktop\IMG\center_2022_11_16_17_51_49_564.jpg,C:\Users\apnat\Desktop\IMG\left_2022_11_16_17_51_49_564.jpg,C:\Users\apnat\Desktop\IMG\right_2022_11_16_17_51_49_564.jpg,-0.1266054,1,0,31.45993,171.8318,1.674907,116.7222
C:\Users\apnat\Desktop\IMG\center_2022_11_16_17_51_49_633.jpg,C:\Users\apnat\Desktop\IMG\left_2022_11_16_17_51_49_633.jpg,C:\Users\apnat\Desktop\IMG\right_2022_11_16_17_51_49_633.jpg,0,1,0,31.99425,171.396,1.674732,117.4559
C:\Users\apnat\Desktop\IMG\center_2022_11_16_17_51_49_705.jpg,C:\Users\apnat\Desktop\IMG\left_2022_11_16_17_51_49_705.jpg,C:\Users\apnat\Desktop\IMG\right_2022_11_16_17_51_49_705.jpg,0,1,0,32.70218,170.7986,1.674519,118.4503
C:\Users\apnat\Desktop\IMG\center_2022_11_16_17_51_49_784.jpg,C:\Users\apnat\Desktop\IMG\left_2022_11_16_17_51_49_784.jpg,C:\Users\apnat\Desktop\IMG\right_2022_11_16_17_51_49_784.jpg,0,1,0,33.40594,170.183,1.674298,119.4632
